Pla2g3,Sla2
Zbtb46,Adora2a
Vcan,Thbs1
Efna2,Rasgrp1
Angptl4,Btla
Adamtsl4,Ptprf
Cx3cl1,Cmklr1
Mcemp1,Gdf11
Snhg14,Gng4
Tnfsf10,Gstt1
Angptl3,Coro2b
Gab1,Hspa1b
Tgm2,Cytip
Ager,Hey1
Gzmm,Irg1
Clec4a1,Gpr35
Htra1,Hspa1a
Nod2,Cbr2
Tnfsf4,Nr4a2
Il7,Hgf
Clec4a3,Tgm2
C3,Fgr
Pde3b,Vdr
Tnfrsf2,Il1r2
Tlr8,NfiA
Klk1b11,Mt2
Ptger3,Oasl1
Tnfsf13b,Ceacam1
Rtnr4,Il21r
Gbp7,Adgrg1
Padi4,Rxra
Pde4b,Pag1
Trpm2,Id3
Clec2d,Zfp36
Ass1,Timp2
Arrdc4,Cd300a
Nod1,Notch2
C8g,Sigirr
Plxnd1,Pqlc2
P2ry14,Mertk
Nfkb2,Nfic
Rftn2,Treml1
Marcks,Traf5
Icosl,Nr1h3
Clec4e,Gclm
Itga4
Il6ra
Mr1
Csf2rb
Junb